SERIES,Name,UNIT_MEASURE,UNIT_MULT,SEX,AGE,URBANISATION,COMPOSITE_BREAKDOWN,EDUCATION_LEV,DISABILITY_STATUS,OCCUPATION,INCOME_WEALTH_QUANTILE,PRODUCT,ACTIVITY
SI_COV_VULN,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SI_COV_WKINJRY,Proportion of employed population covered in the event of work injury [1.3.1],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SI_COV_BENFTS,Proportion of population covered by at least one social protection benefit [1.3.1],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SI_COV_DISAB,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SI_COV_LMKT,Proportion of population covered by labour market programs [1.3.1],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SI_COV_PENSN,Proportion of population above statutory pensionable age receiving a pension [1.3.1],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SP_ACS_BSRV,Proportion of population living in households with access to basic services [1.4.1],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SP_LGL_LNDDOC,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
SP_LGL_LNDSEC,Proportion of people who perceive their rights to land as secure out of total adult population [1.4.2],PT,0,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_MISS,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_AFFCT,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_MORT,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_MTMP,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",PER_100000_POP,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_MMHN,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_DAFF,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",PER_100000_POP,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_IJILN,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_PDAN,"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_PDYN,"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_PDLN,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,ALL,ALL,ALL,_T;MS_MIGRANT;MS_NOMIGRANT;MS_EUMIGRANT;MS_NONEUMIGRANT;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,ALL,ALL,ALL,ALL,_T,_T
VC_DSR_DDHN,"Number damaged dwellings attributed to disasters [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,_T,_T,ALL,_T;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,_T,_T,_T,_T,_T,_T
VC_DSR_DYDN,"Number of destroyed dwellings attributed to disasters [1.5.1, 11.5.1, 13.1.1]",NUMBER,ALL,_T,_T,ALL,_T;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,_T,_T,_T,_T,_T,_T
VC_DSR_GDPLS,Direct economic loss attributed to disasters [1.5.2],USD,ALL,_T,_T,_T,_T;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,_T,_T,_T,_T,_T,_T
VC_DSR_LSGP,"Direct economic loss attributed to disasters relative to GDP [1.5.2, 11.5.2]",PT,0,_T,_T,_T,_T;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,_T,_T,_T,_T,_T,_T
VC_DSR_AGLH,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,ALL,_T,_T,_T,_T;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,_T,_T,_T,_T,_T,_T
VC_DSR_HOLH,"Direct economic loss in the housing sector attributed to disasters, by hazard type [1.5.2, 11.5.2]",USD,ALL,_T,_T,_T,_T;HZT_ACIDT;HZT_ACIDR;HZT_ALLUV;HZT_ANIAK;HZT_AVALE;HZT_BIOGL;HZT_CHESP;HZT_COSER;HZT_COSFL;HZT_COLDW;HZT_CSOLD;HZT_CONTM;HZT_CYCLN;HZT_DFRST;HZT_DROUG;HZT_DZUD;HZT_ERQAK;HZT_ELEST;HZT_EPIDM;HZT_EPIZT;HZT_EROSN;HZT_EXPLN;HZT_EXTEM;HZT_FIREX;HZT_FLSFL;HZT_FLOOD;HZT_FOGXX;HZT_FRZRN;HZT_FROST;HZT_GLCFL;HZT_HAILS;HZT_HETWA;HZT_HEVRN;HZT_INFET;HZT_INTOX;HZT_LAHAR;HZT_LNDRG;HZT_LNDSL;HZT_LIQFN;HZT_NUCIN;HZT_OTHER;HZT_PANIC;HZT_PEATX;HZT_PESTX;HZT_PLGUE;HZT_POLUT;HZT_SANDS;HZT_SEDMN;HZT_SNSTM;HZT_STORM;HZT_STCOL;HZT_STUCK;HZT_SUBSD;HZT_TECHH;HZT_TORND;HZT_TSUNM;HZT_VOLER;HZT_WLDFR;HZT_WNDST;,_T,_T,_T,_T,_T,_T
